Time,Time Code,Series Name,Series Code,Argentina [ARG],Australia [AUS],Brazil [BRA],China [CHN],France [FRA],Germany [DEU],India [IND],Indonesia [IDN],Italy [ITA],Japan [JPN],"Korea, Rep. [KOR]",Mexico [MEX],Netherlands [NLD],Russian Federation [RUS],Saudi Arabia [SAU],Spain [ESP],Switzerland [CHE],Turkiye [TUR],United Kingdom [GBR],United States [USA],Afghanistan [AFG],Albania [ALB],Algeria [DZA],American Samoa [ASM],Andorra [AND],Angola [AGO],Antigua and Barbuda [ATG],Armenia [ARM],Aruba [ABW],Austria [AUT],Azerbaijan [AZE],"Bahamas, The [BHS]",Bahrain [BHR],Bangladesh [BGD],Barbados [BRB],Belarus [BLR],Belgium [BEL],Belize [BLZ],Benin [BEN],Bermuda [BMU],Bhutan [BTN],Bolivia [BOL],Bosnia and Herzegovina [BIH],Botswana [BWA],British Virgin Islands [VGB],Brunei Darussalam [BRN],Bulgaria [BGR],Burkina Faso [BFA],Burundi [BDI],Cabo Verde [CPV],Cambodia [KHM],Cameroon [CMR],Canada [CAN],Cayman Islands [CYM],Central African Republic [CAF],Chad [TCD],Channel Islands [CHI],Chile [CHL],Colombia [COL],Comoros [COM],"Congo, Dem. Rep. [COD]","Congo, Rep. [COG]",Costa Rica [CRI],Cote d'Ivoire [CIV],Croatia [HRV],Cuba [CUB],Curacao [CUW],Cyprus [CYP],Czechia [CZE],Denmark [DNK],Djibouti [DJI],Dominica [DMA],Dominican Republic [DOM],Ecuador [ECU],"Egypt, Arab Rep. [EGY]",El Salvador [SLV],Equatorial Guinea [GNQ],Eritrea [ERI],Estonia [EST],Eswatini [SWZ],Ethiopia [ETH],Faroe Islands [FRO],Fiji [FJI],Finland [FIN],French Polynesia [PYF],Gabon [GAB],"Gambia, The [GMB]",Georgia [GEO],Ghana [GHA],Gibraltar [GIB],Greece [GRC],Greenland [GRL],Grenada [GRD],Guam [GUM],Guatemala [GTM],Guinea [GIN],Guinea-Bissau [GNB],Guyana [GUY],Haiti [HTI],Honduras [HND],"Hong Kong SAR, China [HKG]",Hungary [HUN],Iceland [ISL],"Iran, Islamic Rep. [IRN]",Iraq [IRQ],Ireland [IRL],Isle of Man [IMN],Israel [ISR],Jamaica [JAM],Jordan [JOR],Kazakhstan [KAZ],Kenya [KEN],Kiribati [KIR],"Korea, Dem. People's Rep. [PRK]",Kosovo [XKX],Kuwait [KWT],Kyrgyz Republic [KGZ],Lao PDR [LAO],Latvia [LVA],Lebanon [LBN],Lesotho [LSO],Liberia [LBR],Libya [LBY],Liechtenstein [LIE],Lithuania [LTU],Luxembourg [LUX],"Macao SAR, China [MAC]",Madagascar [MDG],Malawi [MWI],Malaysia [MYS],Maldives [MDV],Mali [MLI],Malta [MLT],Marshall Islands [MHL],Mauritania [MRT],Mauritius [MUS],"Micronesia, Fed. Sts. [FSM]",Moldova [MDA],Monaco [MCO],Mongolia [MNG],Montenegro [MNE],Morocco [MAR],Mozambique [MOZ],Myanmar [MMR],Namibia [NAM],Nauru [NRU],Nepal [NPL],New Caledonia [NCL],New Zealand [NZL],Nicaragua [NIC],Niger [NER],Nigeria [NGA],North Macedonia [MKD],Northern Mariana Islands [MNP],Norway [NOR],Oman [OMN],Pakistan [PAK],Palau [PLW],Panama [PAN],Papua New Guinea [PNG],Paraguay [PRY],Peru [PER],Philippines [PHL],Poland [POL],Portugal [PRT],Puerto Rico [PRI],Qatar [QAT],Romania [ROU],Rwanda [RWA],Samoa [WSM],San Marino [SMR],Sao Tome and Principe [STP],Senegal [SEN],Serbia [SRB],Seychelles [SYC],Sierra Leone [SLE],Singapore [SGP],Sint Maarten (Dutch part) [SXM],Slovak Republic [SVK],Slovenia [SVN],Solomon Islands [SLB],Somalia [SOM],South Africa [ZAF],South Sudan [SSD],Sri Lanka [LKA],St. Kitts and Nevis [KNA],St. Lucia [LCA],St. Martin (French part) [MAF],St. Vincent and the Grenadines [VCT],Sudan [SDN],Suriname [SUR],Sweden [SWE],Syrian Arab Republic [SYR],Tajikistan [TJK],Tanzania [TZA],Thailand [THA],Timor-Leste [TLS],Togo [TGO],Tonga [TON],Trinidad and Tobago [TTO],Tunisia [TUN],Turkmenistan [TKM],Turks and Caicos Islands [TCA],Tuvalu [TUV],Uganda [UGA],Ukraine [UKR],United Arab Emirates [ARE],Uruguay [URY],Uzbekistan [UZB],Vanuatu [VUT],"Venezuela, RB [VEN]",Viet Nam [VNM],Virgin Islands (U.S.) [VIR],West Bank and Gaza [PSE],"Yemen, Rep. [YEM]",Zambia [ZMB],Zimbabwe [ZWE]
2019,YR2019,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,41.751,8.763,50.958,8.277,6.127,7.126,14.796,28.876,3.68,2.772,0.925,63.359,2.505,14.271,12.803,5.867,1.992,17.535,11.064,16.202,70.967,14.949,10.328,34.278,3.526,145.094,31.691,16.328,22.123,5.29,47.851,26.003,9.16,79.151,46.03,11.351,5.204,65.575,83.84,3.028,8.139,68.46,11.354,56.259,13.492,10.042,39.169,96.659,56.534,45.194,50.2,114.634,6.432,11.533,164.921,143.291,9.322,18.968,64.278,59.294,111.141,114.54,42.097,99.014,8.687,51.098,15.763,6.974,9.834,2.056,20.015,36.168,66.982,67.976,43.989,57.724,158.817,68.343,8.383,73.228,74.505,6.188,22.047,4.048,28.526,97.632,63.374,29.594,64.279,8.689,8.4,37.615,31.587,35.293,77.103,126.258,87.043,75.615,53.62,85.131,2.233,21.404,4.88,29.369,63.067,5.447,9.22,7.481,37.741,22.573,22.036,63.656,49.038,0.56,8.01,4.499,37.279,84.037,11.993,22.046,76.564,132.002,6.61,1.992,10.518,4.249,1.318,136.38,120.579,8.45,6.866,144.648,11.578,73.127,94.333,22.83,45.7,28.163,10.432,29.724,10.741,27.339,161.32,34.355,71.902,80.497,71.667,13.927,13.083,97.665,157.051,92.622,17.25,27.527,2.227,8.551,45.589,30.425,69.342,57.004,74.016,47.308,38.109,9.522,7.608,18.858,7,35.21,32.019,47.107,1.12,89.959,64.558,13.755,58.615,102.178,2.303,19.463,26.699,4.318,52.616,124.669,53.273,101.054,15.602,39.623,30.831,14.9,53.182,72.653,53.196,3.291,41.151,46.924,118.798,31.21,30.482,81.607,25.256,37.987,6.111,25.683,19.129,31.566,114.989,16.636,3.292,33.065,22.159,70.218,74.487,35.258,32.171,40.399,74.019,122.903,98.733
2019,YR2019,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,5.3185559967348,2.11578072211076,4.2050140943502,7.1436902775818,1.40828485472535,0.83369166704386,16.7555683032837,12.7126026577522,1.81866879873849,1.03894744464527,1.66793097899135,3.31502439939083,1.7588069903961,3.53030291392166,2.55954777337025,2.51980122994951,0.647745526895984,6.40176095459275,0.604721474036011,0.83262086291437,25.7739707394105,18.1604049243108,11.4791798857164,..,0.522633248415779,7.88262506936516,1.64775837456665,11.5256107379588,0.0275726826443453,1.04463413653499,5.6952581438455,0.545474101504279,0.268674381904261,11.9753231358984,2.46990992846244,6.79497075676157,0.718789583537128,6.53602981200017,26.8758016258337,0.220961505173123,12.9339528096718,12.2217575775717,5.45004218122409,2.08342949351655,..,0.986055107003176,3.19616480472546,18.2205245524421,28.8443899996176,4.437360866953,15.4385065177157,16.8022835644401,1.69707935336103,0.414317853358841,28.3418324649438,24.1353926658466,0.747910082402883,3.987812171379,6.41072082168314,35.6200979878781,19.4349887070068,7.3469917082119,4.20205116302465,15.6882063635315,2.85681403192909,3.56732632295441,0.231767414518374,1.74820542874204,1.89151770908811,1.24122741169144,1.51935122196429,11.9831632498562,5.22728892621582,7.78676467096136,10.6971354360257,5.1464335217926,2.43787857420381,..,2.265648962634,7.6876853230323,33.6333290594336,17.0514062234626,11.2911597452771,2.18977184111891,2.25047826168236,5.5544308701413,20.0040458725555,7.33548626473072,17.323230201462,..,3.66151933931312,18.4763686569553,4.67951202688308,..,9.40872555064273,26.4272768142306,31.0899966802786,17.5953367342493,19.1874037315046,10.6380334094751,0.0723017256105577,3.33240711582559,4.3850316517953,13.3248691743433,3.77000825306199,0.883336918632163,0.316670665474295,1.34978874014483,7.01964952215967,4.37193790468563,4.46633595812751,20.8611638110686,26.9783504353561,..,7.23866991904392,0.370434060761879,10.3739026248931,16.0503390570341,3.85343444199836,3.16909985150245,4.46380208822172,36.4371513224574,2.04201619232517,0.139140766681258,3.12404744403716,0.21536874421256,..,22.9562520100657,22.9473991790142,7.24130800003819,4.49402389452079,36.7845756777544,0.4721066879515,18.2091455560326,19.957882454072,2.70724144125848,23.2544923857868,10.1608126286441,..,11.5583828612266,6.39384153850846,10.8424017370039,24.7697818145637,20.8421577754282,7.08397673847435,..,21.583372760027,1.78613861386139,5.69403389305889,15.5296780421004,36.9919203931409,21.9062959303516,8.13229139447626,..,1.78246102169707,1.99471933938581,20.6778713222887,3.39031862758297,2.45508077795197,16.9764457963718,9.66747366416727,6.85303103477238,8.82032374716967,2.37029744646443,1.99991845769704,0.682321472056496,0.260005311222201,4.29922089922956,23.560629300383,9.10454875149409,0.0152774759329299,11.9296548194696,14.8962721234445,4.76474851493196,2.12955445087691,34.547180978919,0.0321888370280154,..,1.6170097133415,1.77040651705792,32.6711500680067,..,1.9503211452698,..,7.25624669982984,0.899970246154566,1.73221387538665,..,7.00102071108183,20.1640153484443,8.59607814021171,1.29094538271318,40.7410447915959,20.8670733588,26.5943119516018,8.1285680400948,14.1291551737167,19.5145346708648,20.2411899518908,1.58505601257357,9.76625873287072,10.8113571045068,..,..,22.9455088065564,8.96518101437243,0.746712201018526,6.50279432319125,21.8419117411197,..,..,11.7845285540387,..,7.05401698427058,..,2.86077493680796,9.81926160524559
2019,YR2019,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,12.9075342465753,2.14634146341463,1.19130895601484,21.4056667496178,13.106043065,24.1052046728972,44.7786998616874,11.0286322881062,18.5452054794521,18.2325581395349,45.0223592906708,21.8462102689487,76.3945454545455,1.50324675324675,974.166666666667,26.2720323741007,4.21782178217822,27.4491850220264,5.80620689655172,15.7699117024308,43.0159066808059,4.20446096654275,87.152129456744,..,..,0.476824324324324,8.46153846153846,41.7699373086456,..,5.70909090909091,155.144793592113,..,3877.5,34.1619047619048,87.5,3.99411764705882,34.9916666666667,0.661861074705111,1.2621359223301,..,0.433205128205128,0.726281515650741,0.86056338028169,8.41666666666667,..,1.08235294117647,25.8190476190476,6.544,2.78429423459245,48.95751,1.81094527363184,0.398681318681319,1.2720350877193,..,0.0514184397163121,5.864,..,3.99638418079096,1.29845456596737,0.833333333333333,0.0759555555555556,0.0207207207207207,2.77710619469027,1.51223321186882,1.78249336870027,18.2528856243442,..,25.8974358974359,11.4524714828897,15.7599,6.33333333333333,10,30.3702127659574,2.24136528028933,7750,13.5508637236084,0.0761538461538462,20.7857142857143,7.91856805664831,40.4545454545455,8.64598360655738,..,0.297373029772329,2.80373831775701,..,0.0848170731707317,3.38666666666667,2.70452434199209,4.78085808580858,..,17.4396551724138,..,7.05,..,3.04404761904762,0.393805309734513,1.09375,0.599460580912863,11.1478434689014,1.77255680564747,..,74.3845833333333,0.170588235294118,72.3346303501945,160.846590909091,3.13877551020408,..,155.2,12.0850076457544,138.099706744868,36.5439005439005,19.4782608695652,..,12.9220895522388,..,..,15.7510729613734,3.86029411764706,1.05448051948052,37.75,0.837476099426386,0.07295,817.142857142857,..,1.64547218628719,4.93,..,3.9933234421365,8.40644361833953,1.15637931034483,15.6666666666667,8.64333333333333,80.6609651485148,..,337.05,21.6284987277354,..,51.7901234567901,..,1.32873563218391,..,36.4586206896552,1.46859421734796,3.313821300359,4.5762987012987,..,4.79167507568113,..,3.01987767584098,0.81454452339799,73.8087942857143,5.64343891402715,29.6144444444444,..,0.703262645026178,116.714285714286,322.018181818182,..,0.886822840409956,0.0489513108614232,2.06239316239316,2.34917733089579,17.9529256743215,16.7611548507463,16.1303421052632,12.3239436619718,446.428571428571,16.500707881076,6.42105263157895,..,..,1.87614678899083,11.8666666666667,66.8252646604021,..,0.132625,82.1666666666667,..,4.43333333333333,5.05623995715051,..,54.9666666666667,44.6428571428571,2.53076923076923,24.5189393939394,50.8333333333333,14.3,..,7.9,673.375,0.622121212121212,1.43941520467836,195.799214806506,16.7065868263473,6.17142857142857,25.5253663533918,14.2665855143031,1.93913043478261,..,8.75520833333333,90.4171632896305,1972.10676156584,..,..,1.63333333333333,19.2304900181488,1628.66666666667,3.96963123644252,324.039167686659,..,2.81007453416149,22.7761393355962,..,40.5911330049261,169.761904761905,1.96009975062344,34.5535430097879
2019,YR2019,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,99.6,98.8,98.4,..,97.6,96.2,..,94.7,99.8,99.9,..,..,..,99.7,94.8,99.9,..,97,..,99,..,..,98.8,..,..,..,..,..,..,98.4,99.9,99,99.6,59,98,99.9,..,95.3,..,..,96.3,81.1,99.9,..,..,99.6,92.3,..,98.6,..,..,..,98,..,40.3,47.2,..,99.8,98.8,..,..,..,99,..,99.9,100,..,99.3,..,..,..,100,99.2,97.2,..,..,..,..,99.7,..,49.8,..,..,99.5,..,..,..,99.8,..,..,..,..,..,..,..,..,53.8,95,..,94.1,..,..,98.3,..,..,..,..,..,..,..,..,..,91.9,..,..,99.9,..,..,..,..,..,..,..,..,100,..,..,..,..,99.6,..,..,99.7,..,..,99.8,..,99.7,..,..,..,..,..,..,..,..,77.2,..,96.5,..,..,..,100,..,99.3,98.6,73.7,100,95,..,92.2,94.4,..,99.8,99.9,..,100,91.5,..,..,..,96.8,74.5,99.9,98.8,86.9,99.6,..,98.3,..,..,31.9,..,..,..,100,100,..,..,..,..,..,..,..,..,99.1,..,..,98.3,..,..,100,..,..,..,..,..,100,100,..,..,..,..,..,..,80.4,86
2019,YR2019,"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,..,..,..,..,..,..,..,52.5,..,..,..,..,..,..,27.6,..,..,..,..,73.9,..,..,53.6,..,..,..,..,..,..,..,..,..,..,62.7017699496291,..,52.6,..,..,..,..,..,..,..,..,..,..,..,32.5079672864091,..,..,..,..,..,..,17.8,8.1,..,..,..,..,..,..,..,..,..,69.0951384694291,..,..,..,..,..,..,62.7779892966591,..,..,..,..,..,..,..,41.4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21.201503046269,..,..,69.3736806153714,..,..,..,..,..,..,..,..,..,..,..,59.8006521261165,33.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,46.6681216103216,..,..,..,..,..,59.8676426711758,..,..,..,34,..,..,..,..,75.9,..,..,..,..,..,..,..,..,..,49.6820543663491,26.9,62.2958961009131,..,21.2,..,..,..,..,..,6.9,..,..,..,..,..,..,..,..,..,..,..,..,..,72.9665238202261,..,..,29.2895637300876,..,..,49.6763641281299,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2019,YR2019,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,37.8443440962428,..,..,..,..,..,..,47.12942183178,..,363.317971259922,..,56.7237028056481,..,70.851960389861,..,..,..,82.8108293079276,..,245.99857427579,..,60.6989523536247,..,..,..,24.5020630055897,..,65.4382865905868,..,..,14.6175206192473,..,..,..,..,39.519099632604,..,..,..,..,..,92.9265176554185,59.7174900767724,31.037648679842,..,29.5142070114636,..,..,..,..,..,..,..,..,..,..,..,143.51692083204,..,..,..,..,78.5386590198214,..,..,..,..,..,..,..,..,..,50.0321516558229,44.6430154491676,..,100.498977231099,..,..,..,..,..,..,136.575279981861,..,..,..,..,68.4376679545306,..,..,..,..,..,..,43.4446138389811,..,..,53.5638703701958,..,66.4217045301825,..,..,..,..,..,..,..,..,..,..,34.962364863991,..,..,..,49.4657698678547,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,63.523382278228,..,..,..,..,..,..,27.0878276906156,..,..,..,131.077577993136,..,..,91.1660798276226,..,..,..,167.984706977637,41.9314461654664,..,..,62.3216285958794,..,151.50287591915,..,..,..,77.0277167869506,37.3461573676798,..,..,86.4934521323101,..,..,..,..,..,..,77.0224406724972,..,..,..,..,..,..,..,..,..,..,25.6201767925042,..,145.392455038591,..,..,..,..,..,..,..,..,..,..,15.4627893032216,..,169.050199733733,..,..,..,..,..,..,..,..,24.2941781091961,48.6102117446371,96.1997591341184,52.684303797118,6.61983902126372,..,..,..,..,..,..,34.4315892893245,..
2019,YR2019,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,2876.71852724712,9988.77987162809,2661.18328561313,5082.38779040238,7049.57659279671,6580.29256436905,988.272169542114,994.537838522229,5260.0173104957,7852.89774387403,10613.6364189565,2430.32564224662,6757.50080398393,6902.44952931316,11871.75313406,5416.99125850377,7354.04558218507,3294.2219031759,4760.73438326436,12751.4774748559,..,2297.67384172958,1651.17795668766,..,..,410.864566288621,..,2084.05063291139,..,8339.93999945946,2243.85125599507,..,21808.1679197927,515.10173042395,..,3759.65072563435,7673.44011391786,..,98.6897288428983,..,..,802.304027987764,3735.12979845065,1550.54515641167,..,10018.5235384476,5117.72120633147,122.555380338625,..,..,650.494645326608,261.623741305755,15191.6497456903,..,..,14.3240518871099,..,4218.62068793083,1502.82565004378,..,125.780761131651,358.041904255927,2090.18686270553,278.827988881925,4363.71186436386,1542.01887627483,4973.29158224351,3853.35489802755,6525.47304268137,5755.1722252014,..,..,1693.58611857875,1510.09044337374,1509.6999755228,1057.80514592793,751.417364746371,97.5250247361732,6987.72626079774,1133.17184716334,92.3124380650632,..,..,15508.1691812129,..,1014.68179737585,..,3311.95343427341,469.785528590296,6001.01425593058,5118.46106292896,..,..,..,653.188065835417,..,..,..,81.4936259827974,776.979600916486,6338.12384288549,4460.37980620687,52576.1101388662,3299.83413984305,1104.84586986202,5943.04405452401,..,6986.08349900596,1179.12874817897,1725.46739842077,5034.26549964328,175.810605144907,..,771.114669721117,..,15390.6205681901,1911.92664392688,935.388295294209,3725.00681881596,3358.30258340791,..,..,4088.60093168886,..,4448.24287427567,12309.6575650684,..,82.6377341045149,..,4916.00089902704,..,..,5035.09488912078,..,..,2412.35085723764,..,2166.48449980182,..,2358.86516184453,5133.20943751728,940.186570352384,459.035790603653,265.915851101789,1566.87772166245,..,231.188329835535,..,8464.41195372751,604.597066131043,61.6182226437207,138.391346832216,3580.52340238197,..,23926.0449343069,7686.15718495283,481.176635278184,..,2384.82064845207,..,2030.5268195617,1561.29701768941,866.813544333681,4363.43809737663,5016.98235792727,..,17849.9895969806,2820.56539536543,55.1811456122419,..,..,..,310.52554399758,4800.8454717515,..,..,9451.80114416079,..,5213.46417689146,7145.7130749359,..,..,3768.65196675465,51.3269011292302,679.264321423657,..,..,..,..,282.711656394576,2936.76787152837,12811.5038135938,847.911718918199,1640.50952542748,114.964301328413,2798.10745942337,..,167.078889121534,..,6425.29060070309,1533.80006418483,2577.18170519922,..,..,80.7448676834179,2973.07734792301,13914.1426572805,3464.31744203913,1824.40605179461,..,1998.85286171883,2290.2681069016,..,..,69.1797947835074,695.479743558319,520.778492142944
2019,YR2019,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1777.41507710553,5295.87164421938,1412.60729823853,2403.41507353211,3601.76570846162,3570.88159282488,665.57468725444,850.270709008969,2494.02659804115,3261.68513219149,5334.67385872126,1458.64835451066,4130.00810728302,5065.14820867318,7668.22165933444,2573.01236026464,2850.88851765381,1774.19625722275,2508.23164972519,6736.45790294089,..,817.176548362341,1463.50985736009,..,..,416.996507156148,..,1163.09284675689,..,3765.98011899602,1594.11077298348,..,10388.189018559,273.340023331257,..,2748.96883661007,4773.932613509,..,414.543641080217,..,..,795.54274549867,2157.71633026544,1241.6779321074,..,9219.80339333238,2628.47684344995,302.330693379864,..,..,489.36782496618,387.419411707774,8116.53873744093,..,..,190.365580148423,..,2154.35451877758,887.289705460699,..,334.541728823177,582.586127914209,996.673606298647,364.149863069511,2173.19836034448,865.534592725481,5972.17142455573,1758.05457120745,4002.2461173426,2758.1535848545,..,..,938.583494670767,903.972772011095,844.540510368646,734.803208380046,1273.74315217578,285.072046929144,3661.49925395092,1023.13885273742,386.237241195762,..,..,6024.64068885194,..,2205.67182377894,..,1371.17934672286,354.248843433875,7476.80384692666,2058.5433840771,..,..,..,851.576981433866,..,..,..,409.8045053234,583.591911432311,1876.91855569536,2727.76850926666,16700.5920009676,3188.80398470773,1319.43951211192,2768.26263673508,..,2407.97500275888,1075.71855431766,811.583012032737,3753.15793323889,542.042029531549,..,763.672802269615,..,8352.78024104055,609.881986975567,782.690308446395,2343.22877775395,1486.47574871806,..,..,3413.9338523206,..,2724.03467418319,6377.09810724871,..,313.77500218938,..,2878.2988852867,..,..,1440.05412913617,..,..,1163.15179238921,..,1500.14706391665,..,2018.31091722035,1750.79216733451,614.502733565635,359.75326082609,426.034236342975,718.386643363248,..,482.761158642892,..,4169.95041399552,616.151129278106,148.122869205689,330.325537947057,1503.51336885666,..,5222.29201488645,5104.14096385215,431.515757251107,..,1162.83608429865,..,1105.56253694542,798.439603977568,551.866549795025,2761.07120390241,2115.18570481977,..,15760.736902246,1705.25777604649,357.419084978587,..,..,..,298.559525125339,2201.91614384043,..,..,6067.59648081936,..,3127.38682636024,3258.59326068265,..,..,2220.83101457917,75.7046918043061,523.423393496303,..,..,..,..,435.397595484311,1731.11308148176,4783.84149571001,553.834989219194,370.778875737531,414.545616952925,1976.43445803045,..,414.030094273623,..,12540.3004394116,950.614263724593,3465.56523671972,..,..,455.421313903164,1987.62473314258,8816.50943614681,1540.78251179675,1285.18444128817,..,1396.90783852331,987.27147244039,..,..,92.6774709704908,741.616894830948,412.165419523265
2019,YR2019,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,17.9248783778462,24.1596779983146,14.1229191903622,18.4099923154801,32.8895593910847,42.3863044855837,18.664264897257,18.5915277970883,30.9498739181942,17.4635264275221,39.2758610673609,38.5296507981357,85.3209394926528,28.4334306799759,34.0891962076157,34.6755629292261,66.9653936798419,33.0742160572998,31.63478028095,11.7891974097286,..,30.9361353522288,20.407941949491,61.6692426584235,..,40.7907550532833,69.2086423595831,41.3508013620849,73.2345915426225,55.8958073929339,49.0506275016423,35.5641431446966,73.0944239873751,13.0947573353039,..,65.0944096428465,82.9674275396401,51.8569693924549,29.6305271935478,51.7434243981752,31.4575032893846,24.967262285945,40.0400711149533,37.0878176552067,..,57.9460404529917,64.1822870820611,29.2576956572794,5.17203999926172,46.7050331370949,55.4468679729119,19.8500907473186,32.3526958202565,69.4710255697764,15.7553800018083,36.7422534363826,..,27.8746677570512,15.8680386541241,12.7734606325226,25.8676651009614,56.1988143702835,34.3253215593308,22.6604887650452,50.4892350523665,12.2133743797594,..,75.7588676037208,72.1248511386482,58.9506079167167,166.717746372109,..,23.0692820412923,24.0486348220803,16.6440314510365,29.9559096080003,51.1307495482003,..,72.0191543549198,..,7.9399766087609,55.7701753016943,48.4609020081916,40.6183181143561,20.5923590296429,51.4310732271996,20.1658912380486,54.3043084100873,37.4495998625311,..,39.5602917930958,41.0427004962382,..,22.2501966955153,17.6119761529528,35.0420493356329,18.3682656120911,..,10.5576734334849,40.2189637388964,177.651315174364,81.5297406120423,43.7132484395931,23.4838672675323,38.0518681988838,127.271542898368,..,29.254289607019,38.0360807474106,36.3349404358171,36.4389870990994,11.4279956869332,14.9824067375102,..,29.3126074591152,52.05825607288,33.4764696600324,..,62.5368430163073,20.6977589567577,46.2093281781161,..,42.35532240076,..,76.8187229886379,206.411649793168,82.706393125478,28.4244012431975,..,65.2777668428576,65.5134179053187,25.7052911328497,124.520365865548,37.0618720480893,42.3975240406607,44.6671405250455,26.7941370558376,31.1910849579769,..,59.2172331806539,43.8466387797969,34.093057468891,37.1420563608323,..,36.4008818615818,60.7116162836823,7.77993647445109,..,27.3503056565813,44.8045000879666,10.7593769160532,..,62.4080567878813,42.4936386768448,36.640925320627,49.4929030047786,9.39086337877951,37.9031027041286,40.2141745207689,..,36.0872909434467,24.0390874349068,28.3829200122031,52.6128934811742,43.6531259432991,60.5788840862048,52.1888599272409,40.079314554834,21.8254435390056,35.033330142378,163.997239164221,..,24.9831341973865,48.9609956559925,82.3562686214226,9.6941408328194,176.300088650586,..,91.8440865121276,84.3570583498527,36.4969019192988,13.0675548124045,27.2021294051151,..,21.8235328944217,..,..,..,..,8.45298341762853,..,48.2412138172619,13.0100664640827,14.9799392742745,16.0367461484986,59.5188906218859,21.2143177359833,23.8124527104537,22.7656730050921,..,45.9513065456175,24.7336007327164,..,..,17.1090580167383,41.2316912560049,96.8595999313045,27.9053641175295,25.3501332976894,50.3452768729642,..,85.1575874073405,54.9623877699587,15.5210552426533,..,34.6361926031881,27.5541564071286
2019,YR2019,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,299354360388,..,568708887352.2,2114161989828.3,..,..,561017395481.3,402379692152.7,..,..,..,617449991504.4,..,..,..,..,..,414870032426.6,..,..,2661685956.5,9274269395.1,5492379098.5,..,..,62292159789.9,..,11884488146.3,..,..,16539074382,..,..,62468325028.8,..,40734118642.4,..,1377410086.7,6948620010.2,..,2803804731.6,14301150537.3,12789468857.3,1564146563.7,..,..,..,9159426696.4,628698017.3,2147746821.3,15362550605.3,12928642115.2,..,..,849502900.5,3216211690,..,..,138984653215,270730976.4,6503189285.1,8397253562.3,29801637994.4,19831484538.4,..,..,..,..,..,..,2552579803.4,460210461.4,35095621459.1,51908820292.2,114910260649.9,17368634891.6,..,779332773.6,..,833719718.4,30377335498.2,..,1831700627,..,..,7291337257.7,851796355.9,18757549511.8,32594881069.8,..,..,..,545922057.5,..,24596433139.3,3539865720.4,657103331.5,1530459137.7,2214201548.9,9755669687.5,..,..,..,4855393068.1,27488314709.1,..,..,..,14464674889.2,33493554481.7,159281625166.4,34970099589.9,..,..,2417453907.3,..,8454325248.7,19211586683,..,73893126216.7,1583480653,1266753401.9,..,..,..,..,..,4044792622.6,2427416965.7,..,2674811758.5,4993929073.9,..,..,5381274690.4,12361096211.7,..,7299000270.2,..,33307361024.1,8448399319.4,55279299519.3,54211909485.8,11182088460,..,..,6515787783.1,..,..,13610346037.4,3584099139.8,81374890974.7,8883693457.8,..,..,..,110177707176.5,..,..,18744676569,17644581576.2,64247279473.4,83649010514.7,..,..,..,..,..,6514940151.8,434855300.1,..,277098659,19248797303.1,32109016714.1,..,1930060483.2,..,..,..,..,304960708.8,5374181112.2,190737954551.6,..,56118735647,..,638927013.2,..,337067165.5,22843960859.7,3927535691.1,..,4590239653.7,6632776523.9,24184306390.3,168599886145.8,203400669.6,1996025942.2,186647313.7,..,40224514020.4,6650434191.5,..,..,13993280988.3,125724670239.8,..,..,22957594678.8,424722517.3,..,122496401626,..,..,7055219065.7,29392470204.8,12249359646.4
